line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
S-L66,TKB,BEN,1000.0,279.41685775560575,27.941685775560575,48.9954645620083
S-L41,ASY,WPR,300.0,83.31861872316708,27.772872907722356,25.7966911119037
N-L42,TAK,OTA,1000.0,259.0495136470754,25.90495136470754,11.2991084983143
N-L18,WRK,NAP,1000.0,258.6437966700301,25.864379667003014,6.54307017622372
N-L116,HAM,PAO,600.0,152.7529762168823,25.458829369480384,26.6981448099184
N-L105,KMO,TGA,600.0,147.1146836475662,24.519113941261033,3.60246556939479
S-L20,WTK,BPD,600.0,132.8294108564387,22.138235142739784,51.7614337971315
S-L32,OHA,OHB,1000.0,221.01898849689508,22.10189884968951,7.60826530992153
N-L8,BPE,TNG,1000.0,219.71839132715246,21.971839132715246,90.8326945020655
N-L24,WRK,OHK,1000.0,219.57231254043654,21.957231254043656,24.2708357763857
