line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L115,KPO,HIN,600.0,25.30593601971657,4.217656003286095,19.9969502080211
N-L23,NAP,OKI,1000.0,41.8,4.18,13.7100277067352
N-L35,TRK,KMO,1000.0,40.94208404039293,4.094208404039293,37.1563042852716
N-L89,MNI,MKE,600.0,24.512479806256522,4.085413301042753,11.2927120407318
S-L52,DOB,RFN,600.0,23.82404662969809,3.9706744382830146,60.9204555513398
S-L54,RFN,MCH,600.0,22.484195984042156,3.7473659973403595,52.1068874838519
S-L27,ABY,TKA,600.0,22.220380098582872,3.703396683097145,37.286354792236
N-L67,TKR,PNI,600.0,21.70706178681454,3.6178436311357567,6.61511796930028
S-L35,TWZ,ISL,1000.0,35.98091763333983,3.598091763333983,210.067008316686
S-L26,TIM,ABY,600.0,21.305296327788046,3.5508827212980076,37.286354792236
S-L46,COL,CLH,300.0,10.368673074553294,3.4562243581844316,23.4308193825237
N-L83,SFD,KPA,600.0,20.68613516943931,3.447689194906552,18.1032159402671
N-L103,OWH,TMI,600.0,20.521518401887082,3.4202530669811804,34.8411215430613
N-L77,FHL,TUI,600.0,19.799085271089126,3.299847545181521,94.4274065246468
S-L47,CLH,APS,300.0,9.760893555144794,3.2536311850482647,32.1542242751224
N-L78,RDF,TUI,600.0,19.254433286878676,3.209072214479779,87.7020120594821
S-L48,APS,OTI,300.0,9.590168971041281,3.1967229903470935,13.0490098963713
S-L49,OTI,HKK,300.0,9.503668515095502,3.167889505031834,48.9525350335949
N-L88,HUI,MNI,600.0,18.909776058072786,3.151629343012131,7.06160903057638
S-L55,ORO,MCH,600.0,16.412152859318734,2.735358809886456,58.3887217703109
S-L51,GYM,DOB,600.0,15.972992088724585,2.662165348120764,7.09904623489572
N-L53,HEN,BRB,1000.0,20.914899716574244,2.0914899716574245,111.002308654412
N-L36,TRK,ATI,1000.0,16.842470391596187,1.6842470391596187,37.4317709664017
N-L84,KPA,OPK,600.0,8.401925865680838,1.4003209776134729,19.5223674730092
S-L53,RFN,ORO,600.0,6.448357194923098,1.0747261991538497,39.535187622779
N-L110,KAW,MAT,600.0,5.856242164499591,0.9760403607499317,9.04426114629899
N-L45,OTA,SWN,1000.0,6.086900505237215,0.6086900505237215,5.06872074556121
N-L34,KAW,MAT,1000.0,5.856242164499591,0.585624216449959,9.04426114629899
S-L50,HKK,KUM,300.0,1.4818893900184842,0.49396313000616143,20.0145624191455
S-L24,BPT,BPD,600.0,0.5098974245224892,0.08498290408708153,17.0135925222243
