line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct,length_km
N-L37,WKM,HAM,1000.0,443.42456833592775,44.34245683359278,83.3285111255594
N-L50,WRD,ALB,1000.0,434.8547901417128,43.48547901417128,6.84953795057248
N-L100,LFD,TRK,600.0,258.5312963095867,43.08854938493112,30.1243374261581
N-L127,PEN,ROS,600.0,254.13445738908393,42.35574289818065,8.12772396404804
N-L38,WKM,MTI,1000.0,413.9586,41.39586,8.85037188209003
N-L10,TNG,TKU,1000.0,412.3612731999973,41.23612731999973,56.4138455676308
N-L40,HLY,BOB,1000.0,401.8670080829015,40.186700808290155,41.4691687713726
S-L31,OHB,OHC,1000.0,401.39157137962695,40.13915713796269,7.18601761558355
N-L130,WEL,HEN,600.0,234.22459368203033,39.03743228033839,62.5593994810789
S-L34,CML,TWZ,1000.0,386.30506754633274,38.630506754633274,112.713648005474
N-L107,TMI,EDG,600.0,231.30070398754566,38.55011733125761,46.9269385834415
N-L41,BOB,TAK,1000.0,374.7146291019017,37.471462910190176,17.6577520064375
S-L40,SBK,ASY,300.0,107.67648225282741,35.89216075094247,7.46749170908944
S-L17,ROX,NSY,1000.0,351.3632006606911,35.13632006606911,78.1687641623564
N-L132,MTO,MPE,600.0,192.88315832409114,32.14719305401519,38.1546808942969
N-L54,WWD,CPK,600.0,191.38240985828708,31.89706830971451,9.12324065546938
N-L55,WWD,WIL,600.0,188.56664985828706,31.42777497638118,9.25508945708612
N-L5,TWC,BPE,1000.0,313.594269469539,31.359426946953896,13.9501594205303
N-L26,ATI,WKM,1000.0,311.2479795713174,31.12479795713174,19.5947488941592
N-L131,WEL,MTO,600.0,185.20152139614,30.866920232690003,26.0154379400541
S-L41,ASY,WPR,300.0,92.50131094044293,30.83377031348098,25.7966911119037
N-L62,PRM,MHO,1000.0,308.265008899378,30.8265008899378,53.4494204289346
N-L32,MAT,EDG,1000.0,306.98577664819646,30.69857766481965,14.0850449213899
N-L104,TMI,KMO,600.0,183.3221698548117,30.55369497580195,17.277413487974
N-L46,OTA,PEN,1000.0,300.75882244985746,30.075882244985745,6.91947044006439
N-L129,HEP,HEN,600.0,179.73539697536927,29.955899495894876,6.26627347605511
S-L29,BEN,AVI,1000.0,299.4988707138524,29.94988707138524,16.3868616792413
N-L13,HRP,WHI,1000.0,291.6835914027091,29.168359140270912,27.6323109307974
N-L72,WDV,DVK,600.0,173.37921170713264,28.896535284522106,20.349334390747
S-L32,OHA,OHB,1000.0,285.312024311883,28.5312024311883,7.60826530992153
N-L81,WVY,HWA,600.0,170.03853842402114,28.339756404003523,34.7992086563272
N-L31,OHK,MAT,1000.0,278.44694872129537,27.844694872129537,71.5534915004651
N-L116,HAM,PAO,600.0,167.04886333949474,27.84147722324912,26.6981448099184
N-L8,BPE,TNG,1000.0,277.810300367809,27.7810300367809,90.8326945020655
N-L74,DVK,WPW,600.0,165.6273279363378,27.604554656056298,46.5370081361114
